timestamp,sender,message,contact
2022-10-10 00:00:00,Ayush,Okay,WhatsApp Chat with sehersha
2022-10-10 00:01:00,Ayush,ily bby,WhatsApp Chat with sehersha
2022-10-10 09:47:00,Ayush,Ek mandir hai vaha pe,WhatsApp Chat with sehersha
2022-10-10 09:47:00,Ayush,I go there every year for my dad's bdayy,WhatsApp Chat with sehersha
2022-10-10 10:26:00,Ayush,Yess,WhatsApp Chat with sehersha
2022-10-10 12:21:00,Ayush,Kal ved ko kyaa bol rhi thi tu,WhatsApp Chat with Krishna
2022-10-10 12:22:00,Ayush,Oh,WhatsApp Chat with Krishna
2022-10-10 19:28:00,Ayush,You are good too,WhatsApp Chat with sehersha
2022-10-10 19:28:00,Ayush,You too,WhatsApp Chat with sehersha
2022-10-10 22:31:00,Ayush,Do you not know what vasu baras is,WhatsApp Chat with sehersha
2022-10-10 22:32:00,Ayush,mumma ko puch,WhatsApp Chat with sehersha
2022-10-10 22:33:00,Ayush,And you worship cow I think,WhatsApp Chat with sehersha
2022-10-10 22:33:00,Ayush,It's just something that,WhatsApp Chat with sehersha
2022-10-10 22:33:00,Ayush,Arey,WhatsApp Chat with sehersha
2022-10-10 22:33:00,Ayush,Declares ki diwali start hogya hai,WhatsApp Chat with sehersha
2022-10-10 22:34:00,Ayush,(manipulatively),WhatsApp Chat with sehersha
2022-10-10 22:37:00,Ayush,WHY ARE YOU ACTING WEIRD,WhatsApp Chat with sehersha
2022-10-10 22:37:00,Ayush,BATA,WhatsApp Chat with sehersha
2022-10-10 22:37:00,Ayush,yea,WhatsApp Chat with sehersha
2022-10-10 22:37:00,Ayush,Did something happen,WhatsApp Chat with sehersha
2022-10-10 22:37:00,Ayush,KYAA HUA SEHERSHA,WhatsApp Chat with sehersha
2022-10-10 22:38:00,Ayush,Are you sure,WhatsApp Chat with sehersha
2022-10-10 22:38:00,Ayush,Okay,WhatsApp Chat with sehersha
2022-10-10 22:39:00,Ayush,Something feels off about u,WhatsApp Chat with sehersha
2022-10-10 22:41:00,Ayush,cool,WhatsApp Chat with sehersha
2022-10-10 22:43:00,Ayush,Kuch hua kyaa,WhatsApp Chat with Krishna
2022-10-10 22:43:00,Ayush,<Media omitted>,WhatsApp Chat with Krishna
2022-10-10 22:45:00,Ayush,Okay,WhatsApp Chat with Krishna
2022-10-10 22:45:00,Ayush,I'm avoiding her kal,WhatsApp Chat with Krishna
2022-10-10 22:45:00,Ayush,I'm v annoyed,WhatsApp Chat with Krishna
2022-10-10 22:46:00,Ayush,Nai fr iss bar,WhatsApp Chat with Krishna
2022-10-10 22:47:00,Ayush,Remind me if I forget,WhatsApp Chat with Krishna
2022-10-10 22:49:00,Ayush,Bhai but,WhatsApp Chat with Krishna
2022-10-10 22:50:00,Ayush,And she would jus leave me and say ki she lost feelings,WhatsApp Chat with Krishna
2022-10-10 22:50:00,Ayush,Until someone better comes in her life,WhatsApp Chat with Krishna
2022-10-10 22:50:00,Ayush,And it wouldn't matter coz we weren't dating,WhatsApp Chat with Krishna
2022-10-10 22:50:00,Ayush,It feels like ki I'm just being kept on hold,WhatsApp Chat with Krishna
2022-10-10 22:52:00,Ayush,And istg if she comes there she's the most confusing person I've ever met,WhatsApp Chat with Krishna
2022-10-10 22:52:00,Ayush,I'll sit somewhere else jaake,WhatsApp Chat with Krishna
2022-10-10 22:52:00,Ayush,Nai mat kar,WhatsApp Chat with Krishna
2022-10-10 22:52:00,Ayush,Piche jaake baithta hu,WhatsApp Chat with Krishna
2022-10-10 22:53:00,Ayush,okay,WhatsApp Chat with sehersha
2022-10-10 22:55:00,Ayush,yea I'm studying,WhatsApp Chat with sehersha
2022-10-10 22:57:00,Ayush,Okayy,WhatsApp Chat with sehersha
2022-10-10 22:57:00,Ayush,<Media omitted>,WhatsApp Chat with Krishna
2022-10-10 22:57:00,Ayush,She texted ILY,WhatsApp Chat with Krishna
2022-10-10 22:58:00,Ayush,Don't expect me to avoid her ab,WhatsApp Chat with Krishna
2022-10-10 23:01:00,Ayush,I've just cried a lot,WhatsApp Chat with sehersha
2022-10-10 23:02:00,Ayush,yea,WhatsApp Chat with sehersha
2022-10-10 23:03:00,Ayush,I was missing my dad way too much todayy,WhatsApp Chat with sehersha
2022-10-10 23:03:00,Ayush,I was so close to crying clg maii,WhatsApp Chat with sehersha
2022-10-10 23:04:00,Ayush,My pillow is all wet lol,WhatsApp Chat with sehersha
2022-10-10 23:04:00,Ayush,Cutu,WhatsApp Chat with sehersha
2022-10-10 23:04:00,Ayush,Ikr,WhatsApp Chat with sehersha
2022-10-10 23:06:00,Ayush,Cry ho raha hai,WhatsApp Chat with sehersha
2022-10-10 23:07:00,Ayush,Samee,WhatsApp Chat with sehersha
2022-10-10 23:07:00,Ayush,If only you lived aas pas,WhatsApp Chat with sehersha
2022-10-10 23:09:00,Ayush,Clg,WhatsApp Chat with sehersha
2022-10-10 23:10:00,Ayush,I LOVE YOU,WhatsApp Chat with sehersha
2022-10-10 23:10:00,Ayush,I love youu,WhatsApp Chat with sehersha
2022-10-10 23:10:00,Ayush,Nothing,WhatsApp Chat with sehersha
2022-10-10 23:11:00,Ayush,I am wishing you,WhatsApp Chat with sehersha
2022-10-10 23:11:00,Ayush,Uh huh,WhatsApp Chat with sehersha
2022-10-11 07:00:00,Ayush,Can't you see I'm in lo-,WhatsApp Chat with sehersha
2022-10-11 07:00:00,Ayush,No,WhatsApp Chat with sehersha
2022-10-11 09:00:00,Ayush,Not crying anymore,WhatsApp Chat with sehersha
2022-10-11 09:01:00,Ayush,So progress yayy,WhatsApp Chat with sehersha
2022-10-12 22:42:00,Ayush,For a guy,WhatsApp Chat with sehersha
2022-10-12 22:42:00,Ayush,His gf broke up with him to date his then best friend,WhatsApp Chat with sehersha
2022-10-12 22:42:00,Ayush,Exactly,WhatsApp Chat with sehersha
2022-10-12 22:42:00,Ayush,Who is not even half as hot as him,WhatsApp Chat with sehersha
2022-10-12 22:43:00,Ayush,Mhmm,WhatsApp Chat with sehersha
2022-10-12 22:44:00,Ayush,Shamelessly exposing him,WhatsApp Chat with sehersha
2022-10-12 22:44:00,Ayush,<Media omitted>,WhatsApp Chat with sehersha
2022-10-12 22:45:00,Ayush,WHAT,WhatsApp Chat with sehersha
2022-10-12 22:46:00,Ayush,Nahi samjha meko,WhatsApp Chat with sehersha
2022-10-12 22:46:00,Ayush,What does it mean,WhatsApp Chat with sehersha
2022-10-12 22:47:00,Ayush,Okay,WhatsApp Chat with sehersha
2022-10-12 22:51:00,Ayush,VOICE NOTE VOICE NOTE,WhatsApp Chat with sehersha
2022-10-12 22:52:00,Ayush,(manipulatively),WhatsApp Chat with sehersha
2022-10-12 22:52:00,Ayush,Not talking to you,WhatsApp Chat with sehersha
2022-10-12 22:52:00,Ayush,Pch,WhatsApp Chat with sehersha
2022-10-12 22:52:00,Ayush,VOICE NOTE,WhatsApp Chat with sehersha
2022-10-12 22:53:00,Ayush,No,WhatsApp Chat with sehersha
2022-10-12 22:54:00,Ayush,Archive,WhatsApp Chat with sehersha
2022-10-12 22:54:00,Ayush,Is he your new simp,WhatsApp Chat with sehersha
2022-10-12 22:54:00,Ayush,he's aware,WhatsApp Chat with sehersha
2022-10-12 22:55:00,Ayush,Idk the right word,WhatsApp Chat with sehersha
2022-10-12 22:55:00,Ayush,Simp victim*,WhatsApp Chat with sehersha
2022-10-12 22:56:00,Ayush,Ah healing,WhatsApp Chat with sehersha
2022-10-12 22:57:00,Ayush,He was caught drinking on the job,WhatsApp Chat with sehersha
2022-10-12 22:57:00,Ayush,Why was a gay man fired from a sperm bank,WhatsApp Chat with sehersha
2022-10-12 22:58:00,Ayush,Very,WhatsApp Chat with sehersha
2022-10-12 22:58:00,Ayush,Not talking to you,WhatsApp Chat with sehersha
2022-10-15 02:40:00,Ayush,im fine,WhatsApp Chat with sehersha
2022-10-15 16:25:00,Ayush,I want to talk to you so bad. Every lecture every night. Then I look back upon how I was hurt during the least expected time by the least expected person. I miss you too.,WhatsApp Chat with sehersha
2022-10-15 16:49:00,Ayush,mhmm I am aware,WhatsApp Chat with sehersha
