timestamp,sender,message,contact
2022-10-03 22:42:00,Ayush,Wow,WhatsApp Chat with sehersha
2022-10-03 22:42:00,sehersha,BUT IT SOUNDS LIKE HIM,WhatsApp Chat with sehersha
2022-10-03 22:42:00,sehersha,poocha toh na bola,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,And sabko chutiya bana rha hai,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,I still think it's yaan ka ACC for some reason,WhatsApp Chat with sehersha
2022-10-03 22:42:00,sehersha,mujhe bhi,WhatsApp Chat with sehersha
2022-10-03 22:43:00,Ayush,Ikr,WhatsApp Chat with sehersha
2022-10-03 22:56:00,sehersha,pch,WhatsApp Chat with sehersha
2022-10-03 23:04:00,Ayush,Mann pe le leta hai,WhatsApp Chat with sehersha
2022-10-03 23:04:00,Ayush,Aur kab laugh off karta hai,WhatsApp Chat with sehersha
2022-10-03 23:04:00,Ayush,Vo pata nahi kab,WhatsApp Chat with sehersha
2022-10-03 23:04:00,Ayush,I can't joke around with yash,WhatsApp Chat with sehersha
2022-10-03 23:06:00,sehersha,i know,WhatsApp Chat with sehersha
2022-10-04 11:58:00,Ayush,She's a 10 but wouldn't wear traditionals on navratri,WhatsApp Chat with sehersha
2022-10-07 21:08:00,Ayush,Can't believe we actually talked for 6mins 20 secs,WhatsApp Chat with sehersha
2022-10-07 21:08:00,sehersha,I WAS GONNA TEXT THAT,WhatsApp Chat with sehersha
2022-10-08 11:32:00,Ayush,Book aur lab coat lana,WhatsApp Chat with sehersha
2022-10-08 11:34:00,sehersha,okay,WhatsApp Chat with sehersha
2022-10-08 19:24:00,sehersha,no but ily,WhatsApp Chat with sehersha
2022-10-08 19:27:00,Ayush,I love you sehersha,WhatsApp Chat with sehersha
2022-10-08 19:27:00,Ayush,I BLUSHED,WhatsApp Chat with sehersha
2022-10-08 19:35:00,sehersha,are you home yet,WhatsApp Chat with sehersha
2022-10-08 19:43:00,sehersha,OH SHIT,WhatsApp Chat with sehersha
2022-10-08 19:49:00,sehersha,good good good good,WhatsApp Chat with sehersha
2022-10-08 19:49:00,sehersha,we didn't end up going for dinner,WhatsApp Chat with sehersha
2022-10-08 19:50:00,Ayush,Coz of me,WhatsApp Chat with sehersha
2022-10-08 19:50:00,sehersha,yea,WhatsApp Chat with sehersha
2022-10-08 19:51:00,sehersha,what,WhatsApp Chat with sehersha
2022-10-08 19:52:00,sehersha,no,WhatsApp Chat with sehersha
2022-10-08 19:52:00,Ayush,Are you not kidding,WhatsApp Chat with sehersha
2022-10-08 19:54:00,Ayush,Ily,WhatsApp Chat with sehersha
2022-10-08 20:05:00,sehersha,I know,WhatsApp Chat with sehersha
2022-10-08 20:16:00,Ayush,SAT registration karle,WhatsApp Chat with sehersha
2022-10-08 20:17:00,sehersha,pch,WhatsApp Chat with sehersha
2022-10-08 20:17:00,sehersha,aalas aaraha hai,WhatsApp Chat with sehersha
2022-10-08 20:17:00,sehersha,karti hu,WhatsApp Chat with sehersha
2022-10-08 20:17:00,Ayush,I really wish I could do it for you,WhatsApp Chat with sehersha
2022-10-08 20:17:00,sehersha,**squints eyes**,WhatsApp Chat with sehersha
2022-10-08 20:18:00,Ayush,These visual aids,WhatsApp Chat with sehersha
2022-10-08 20:19:00,Ayush,Ok mere baju mai hi tha,WhatsApp Chat with sehersha
2022-10-08 20:20:00,sehersha,i wasn't back bitching,WhatsApp Chat with sehersha
2022-10-08 20:20:00,sehersha,ha theek hai na,WhatsApp Chat with sehersha
